Accession,GenBank_RefSeq,Nucleotide,Assembly,Protein,Organism_Name,Species,Isolate,Length,Collection_Date
CAC33180,GenBank,AJ310640,set:AJ310640,3a protein,Turkey coronavirus,Gammacoronavirus galli,,57,
CAC33181,GenBank,AJ310640,set:AJ310640,3a protein,Turkey coronavirus,Gammacoronavirus galli,,64,
CAC33182,GenBank,AJ310640,set:AJ310640,E protein,Turkey coronavirus,Gammacoronavirus galli,,95,
CAC33183,GenBank,AJ310640,set:AJ310640,M protein,Turkey coronavirus,Gammacoronavirus galli,,44,
CAC33184,GenBank,AJ310641,set:AJ310641,5a protein,Turkey coronavirus,Gammacoronavirus galli,,65,
CAC33185,GenBank,AJ310641,set:AJ310641,5a protein,Turkey coronavirus,Gammacoronavirus galli,,82,
CAC33186,GenBank,AJ310641,set:AJ310641,N protein,Turkey coronavirus,Gammacoronavirus galli,,41,
AAF23871,GenBank,AF111995,set:AF111995,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,,409,
AAF23872,GenBank,AF111996,set:AF111996,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,,409,
AAF23873,GenBank,AF111997,set:AF111997,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,,409,
AAD39039,GenBank,AF072911,set:AF072911,matrix protein,Turkey coronavirus,Gammacoronavirus galli,,70,
AAD39040,GenBank,AF072911,set:AF072911,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,,55,
AAD39041,GenBank,AF072912,set:AF072912,matrix protein,Turkey coronavirus,Gammacoronavirus galli,,70,
AAD39042,GenBank,AF072912,set:AF072912,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,,55,
AAD39043,GenBank,AF072913,set:AF072913,matrix protein,Turkey coronavirus,Gammacoronavirus galli,,70,
AAD39044,GenBank,AF072913,set:AF072913,nucleocapsid protein,Turkey coronavirus,Gammacoronavirus galli,,55,
AAD32995,GenBank,AF124991,set:AF124991,RNA-directed RNA polymerase,Turkey coronavirus,Gammacoronavirus galli,,306,
P26626,GenBank,,,Protein I,Turkey coronavirus,Avian coronavirus,,207,
P26021,GenBank,,,Membrane protein,Turkey coronavirus,Avian coronavirus,,230,
