Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein
UYE91146,Bovine coronavirus,GenBank,,MZ711357,BCoV/NM46/CHN/2020,Betacoronavirus 1,1363,spike protein
UYE91147,Bovine coronavirus,GenBank,,MZ711358,BCoV/ShX240/CHN/2021,Betacoronavirus 1,1363,spike protein
UYE91148,Bovine coronavirus,GenBank,,MZ711359,BCoV/ShX310/CHN/2021,Betacoronavirus 1,1363,spike protein
UYE91149,Bovine coronavirus,GenBank,,MZ711360,BCoV/ShX313/CHN/2021,Betacoronavirus 1,1363,spike protein
BDD80097,Bovine coronavirus,GenBank,,LC666740,BoV_AH1409,Betacoronavirus 1,136,nucleocapsid protein
UVN12847,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,4383,polyprotein 1a
UVN12848,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,7025,polyprotein 1ab
UVN12849,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,278,32 kDa protein
UVN12850,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,424,hemagglutinin-esterase precursor
UVN12851,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,1363,spike protein precursor
UVN12852,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,43,4.9 kDa protein
UVN12853,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,45,4.8 kDa protein
UVN12854,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,109,12.7 kDa protein
UVN12855,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,84,small envelpoe protein
UVN12856,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,230,multispanning envelope protein
UVN12857,Bovine coronavirus,GenBank,,OP296992,p95,Betacoronavirus 1,448,nucleocaspid protein
UVJ47420,Bovine coronavirus,GenBank,,ON142315,BCoV1/2021/CHN,Betacoronavirus 1,4383,ORF1a
UVJ47421,Bovine coronavirus,GenBank,,ON142315,BCoV1/2021/CHN,Betacoronavirus 1,7094,ORF1ab
UVJ47422,Bovine coronavirus,GenBank,,ON142315,BCoV1/2021/CHN,Betacoronavirus 1,278,NS2
UVJ47423,Bovine coronavirus,GenBank,,ON142315,BCoV1/2021/CHN,Betacoronavirus 1,424,HE
UVJ47424,Bovine coronavirus,GenBank,,ON142315,BCoV1/2021/CHN,Betacoronavirus 1,1363,S
UVJ47425,Bovine coronavirus,GenBank,,ON142315,BCoV1/2021/CHN,Betacoronavirus 1,45,NS4.8
UVJ47426,Bovine coronavirus,GenBank,,ON142315,BCoV1/2021/CHN,Betacoronavirus 1,109,NS12.7
UVJ47427,Bovine coronavirus,GenBank,,ON142315,BCoV1/2021/CHN,Betacoronavirus 1,84,E
UVJ47428,Bovine coronavirus,GenBank,,ON142315,BCoV1/2021/CHN,Betacoronavirus 1,230,M
UVJ47429,Bovine coronavirus,GenBank,,ON142315,BCoV1/2021/CHN,Betacoronavirus 1,448,N
UVJ47430,Bovine coronavirus,GenBank,,ON142316,BCoV3/2021/CHN,Betacoronavirus 1,4383,ORF1a
UVJ47431,Bovine coronavirus,GenBank,,ON142316,BCoV3/2021/CHN,Betacoronavirus 1,7094,ORF1ab
UVJ47432,Bovine coronavirus,GenBank,,ON142316,BCoV3/2021/CHN,Betacoronavirus 1,278,NS2
UVJ47433,Bovine coronavirus,GenBank,,ON142316,BCoV3/2021/CHN,Betacoronavirus 1,424,HE
UVJ47434,Bovine coronavirus,GenBank,,ON142316,BCoV3/2021/CHN,Betacoronavirus 1,1363,S
UVJ47435,Bovine coronavirus,GenBank,,ON142316,BCoV3/2021/CHN,Betacoronavirus 1,29,NS4.9
UVJ47436,Bovine coronavirus,GenBank,,ON142316,BCoV3/2021/CHN,Betacoronavirus 1,109,NS12.7
UVJ47437,Bovine coronavirus,GenBank,,ON142316,BCoV3/2021/CHN,Betacoronavirus 1,84,E
UVJ47438,Bovine coronavirus,GenBank,,ON142316,BCoV3/2021/CHN,Betacoronavirus 1,230,M
UVJ47439,Bovine coronavirus,GenBank,,ON142316,BCoV3/2021/CHN,Betacoronavirus 1,448,N
UVJ47440,Bovine coronavirus,GenBank,,ON142317,BCoV4/2021/CHN,Betacoronavirus 1,4378,ORF1a
UVJ47441,Bovine coronavirus,GenBank,,ON142317,BCoV4/2021/CHN,Betacoronavirus 1,7089,ORF1ab
UVJ47442,Bovine coronavirus,GenBank,,ON142317,BCoV4/2021/CHN,Betacoronavirus 1,278,NS2
UVJ47443,Bovine coronavirus,GenBank,,ON142317,BCoV4/2021/CHN,Betacoronavirus 1,424,HE
UVJ47444,Bovine coronavirus,GenBank,,ON142317,BCoV4/2021/CHN,Betacoronavirus 1,1363,S
UVJ47445,Bovine coronavirus,GenBank,,ON142317,BCoV4/2021/CHN,Betacoronavirus 1,29,NS4.9
UVJ47446,Bovine coronavirus,GenBank,,ON142317,BCoV4/2021/CHN,Betacoronavirus 1,109,NS12.7
UVJ47447,Bovine coronavirus,GenBank,,ON142317,BCoV4/2021/CHN,Betacoronavirus 1,84,E
UVJ47448,Bovine coronavirus,GenBank,,ON142317,BCoV4/2021/CHN,Betacoronavirus 1,230,M
UVJ47449,Bovine coronavirus,GenBank,,ON142317,BCoV4/2021/CHN,Betacoronavirus 1,448,N
UVJ47450,Bovine coronavirus,GenBank,,ON142318,BCoV5/2021/CHN,Betacoronavirus 1,4383,ORF1a
UVJ47451,Bovine coronavirus,GenBank,,ON142318,BCoV5/2021/CHN,Betacoronavirus 1,7094,ORF1ab
UVJ47452,Bovine coronavirus,GenBank,,ON142318,BCoV5/2021/CHN,Betacoronavirus 1,424,HE
UVJ47453,Bovine coronavirus,GenBank,,ON142318,BCoV5/2021/CHN,Betacoronavirus 1,1363,S
UVJ47454,Bovine coronavirus,GenBank,,ON142318,BCoV5/2021/CHN,Betacoronavirus 1,29,NS4.9
UVJ47455,Bovine coronavirus,GenBank,,ON142318,BCoV5/2021/CHN,Betacoronavirus 1,109,NS12.7
UVJ47456,Bovine coronavirus,GenBank,,ON142318,BCoV5/2021/CHN,Betacoronavirus 1,84,E
UVJ47457,Bovine coronavirus,GenBank,,ON142318,BCoV5/2021/CHN,Betacoronavirus 1,230,M
UVJ47458,Bovine coronavirus,GenBank,,ON142318,BCoV5/2021/CHN,Betacoronavirus 1,448,N
UVJ47459,Bovine coronavirus,GenBank,,ON142319,BCoV6/2021/CHN,Betacoronavirus 1,4383,ORF1a
UVJ47460,Bovine coronavirus,GenBank,,ON142319,BCoV6/2021/CHN,Betacoronavirus 1,7094,ORF1ab
UVJ47461,Bovine coronavirus,GenBank,,ON142319,BCoV6/2021/CHN,Betacoronavirus 1,278,NS2
UVJ47462,Bovine coronavirus,GenBank,,ON142319,BCoV6/2021/CHN,Betacoronavirus 1,424,HE
UVJ47463,Bovine coronavirus,GenBank,,ON142319,BCoV6/2021/CHN,Betacoronavirus 1,1363,S
UVJ47464,Bovine coronavirus,GenBank,,ON142319,BCoV6/2021/CHN,Betacoronavirus 1,29,NS4.9
UVJ47465,Bovine coronavirus,GenBank,,ON142319,BCoV6/2021/CHN,Betacoronavirus 1,109,NS12.7
UVJ47466,Bovine coronavirus,GenBank,,ON142319,BCoV6/2021/CHN,Betacoronavirus 1,84,E
UVJ47467,Bovine coronavirus,GenBank,,ON142319,BCoV6/2021/CHN,Betacoronavirus 1,230,M
UVJ47468,Bovine coronavirus,GenBank,,ON142319,BCoV6/2021/CHN,Betacoronavirus 1,448,N
UVJ47469,Bovine coronavirus,GenBank,,ON142320,BCoV7/2021/CHN,Betacoronavirus 1,4383,ORF1a
UVJ47470,Bovine coronavirus,GenBank,,ON142320,BCoV7/2021/CHN,Betacoronavirus 1,7094,ORF1ab
UVJ47471,Bovine coronavirus,GenBank,,ON142320,BCoV7/2021/CHN,Betacoronavirus 1,278,NS2
UVJ47472,Bovine coronavirus,GenBank,,ON142320,BCoV7/2021/CHN,Betacoronavirus 1,424,HE
UVJ47473,Bovine coronavirus,GenBank,,ON142320,BCoV7/2021/CHN,Betacoronavirus 1,1363,S
UVJ47474,Bovine coronavirus,GenBank,,ON142320,BCoV7/2021/CHN,Betacoronavirus 1,29,NS4.9
UVJ47475,Bovine coronavirus,GenBank,,ON142320,BCoV7/2021/CHN,Betacoronavirus 1,109,NS12.7
UVJ47476,Bovine coronavirus,GenBank,,ON142320,BCoV7/2021/CHN,Betacoronavirus 1,84,E
UVJ47477,Bovine coronavirus,GenBank,,ON142320,BCoV7/2021/CHN,Betacoronavirus 1,230,M
UVJ47478,Bovine coronavirus,GenBank,,ON142320,BCoV7/2021/CHN,Betacoronavirus 1,448,N
UVC32819,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,7094,ORF1ab polyprotein
UVC32820,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,4383,ORF1a polyprotein
UVC32821,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,1363,spike protein
UVC32822,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32823,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32824,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32825,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,230,membrane protein
UVC32826,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,207,internal protein
UVC32827,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32828,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,84,envelope protein
UVC32829,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32830,Bovine coronavirus,GenBank,,OP037365,MARC/2013/01/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32831,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,7094,ORF1ab polyprotein
UVC32832,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,4383,ORF1a polyprotein
UVC32833,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,1363,spike protein
UVC32834,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32835,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32836,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32837,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,230,membrane protein
UVC32838,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,207,internal protein
UVC32839,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32840,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,84,envelope protein
UVC32841,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32842,Bovine coronavirus,GenBank,,OP037366,MARC/2013/02/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32843,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,7091,ORF1ab polyprotein
UVC32844,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,4380,ORF1a polyprotein
UVC32845,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,1363,spike protein
UVC32846,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32847,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32848,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32849,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,230,membrane protein
UVC32850,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,207,internal protein
UVC32851,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32852,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,84,envelope protein
UVC32853,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32854,Bovine coronavirus,GenBank,,OP037367,MARC/2014/01/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32855,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,7091,ORF1ab polyprotein
UVC32856,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,4380,ORF1a polyprotein
UVC32857,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,1363,spike protein
UVC32858,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32859,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32860,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32861,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,230,membrane protein
UVC32862,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,207,internal protein
UVC32863,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32864,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,84,envelope protein
UVC32865,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32866,Bovine coronavirus,GenBank,,OP037368,MARC/2014/02/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32867,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,7091,ORF1ab polyprotein
UVC32868,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,4380,ORF1a polyprotein
UVC32869,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,1363,spike protein
UVC32870,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32871,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32872,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32873,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,230,membrane protein
UVC32874,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,207,internal protein
UVC32875,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32876,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,84,envelope protein
UVC32877,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32878,Bovine coronavirus,GenBank,,OP037369,MARC/2014/03/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32879,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,7091,ORF1ab polyprotein
UVC32880,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,4380,ORF1a polyprotein
UVC32881,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,1363,spike protein
UVC32882,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32883,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32884,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32885,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,230,membrane protein
UVC32886,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,207,internal protein
UVC32887,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32888,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,84,envelope protein
UVC32889,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32890,Bovine coronavirus,GenBank,,OP037370,MARC/2014/04/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32891,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,7094,ORF1ab polyprotein
UVC32892,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,4383,ORF1a polyprotein
UVC32893,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,1363,spike protein
UVC32894,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32895,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32896,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32897,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,230,membrane protein
UVC32898,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,207,internal protein
UVC32899,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32900,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,84,envelope protein
UVC32901,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32902,Bovine coronavirus,GenBank,,OP037371,MARC/2015/01/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32903,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,7094,ORF1ab polyprotein
UVC32904,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,4383,ORF1a polyprotein
UVC32905,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,1363,spike protein
UVC32906,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32907,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32908,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32909,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,230,membrane protein
UVC32910,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,207,internal protein
UVC32911,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32912,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,84,envelope protein
UVC32913,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32914,Bovine coronavirus,GenBank,,OP037372,MARC/2015/02/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32915,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,7094,ORF1ab polyprotein
UVC32916,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,4383,ORF1a polyprotein
UVC32917,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,1363,spike protein
UVC32918,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32919,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32920,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32921,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,230,membrane protein
UVC32922,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,207,internal protein
UVC32923,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32924,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,84,envelope protein
UVC32925,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32926,Bovine coronavirus,GenBank,,OP037373,MARC/2016/01/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32927,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,7094,ORF1ab polyprotein
UVC32928,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,4383,ORF1a polyprotein
UVC32929,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,1363,spike protein
UVC32930,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32931,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32932,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32933,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,230,membrane protein
UVC32934,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,207,internal protein
UVC32935,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32936,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,84,envelope protein
UVC32937,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32938,Bovine coronavirus,GenBank,,OP037374,MARC/2016/02/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32939,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,7094,ORF1ab polyprotein
UVC32940,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,4383,ORF1a polyprotein
UVC32941,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,1363,spike protein
UVC32942,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32943,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32944,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32945,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,230,membrane protein
UVC32946,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,207,internal protein
UVC32947,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32948,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,84,envelope protein
UVC32949,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32950,Bovine coronavirus,GenBank,,OP037375,MARC/2016/03/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32951,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,7094,ORF1ab polyprotein
UVC32952,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,4383,ORF1a polyprotein
UVC32953,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,1363,spike protein
UVC32954,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32955,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32956,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32957,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,230,membrane protein
UVC32958,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,207,internal protein
UVC32959,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32960,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,84,envelope protein
UVC32961,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32962,Bovine coronavirus,GenBank,,OP037376,MARC/2016/04/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
UVC32963,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,7094,ORF1ab polyprotein
UVC32964,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,4383,ORF1a polyprotein
UVC32965,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,1363,spike protein
UVC32966,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,448,nucleocapsid protein
UVC32967,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,424,hemagglutinin-esterase
UVC32968,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,278,32 kDa non-structural protein
UVC32969,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,230,membrane protein
UVC32970,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,207,internal protein
UVC32971,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,109,12.7 kDa non-structural protein
UVC32972,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,84,envelope protein
UVC32973,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,41,4.8 kDa non-structural protein
UVC32974,Bovine coronavirus,GenBank,,OP037377,MARC/2016/05/R,Betacoronavirus 1,29,4.9 kDa non-structural protein
