Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Isolate,Species,Length,Protein
CAI2706363,Canine coronavirus,GenBank,,OX335623,61/22,Alphacoronavirus 1,1454,spike protein
CAI2706364,Canine coronavirus,GenBank,,OX335623,61/22,Alphacoronavirus 1,71,non-structural protein 3a
CAI2706365,Canine coronavirus,GenBank,,OX335623,61/22,Alphacoronavirus 1,71,hypothetical protein
CAI2706366,Canine coronavirus,GenBank,,OX335623,61/22,Alphacoronavirus 1,244,non-structural protein 3c
CAI2706367,Canine coronavirus,GenBank,,OX335623,61/22,Alphacoronavirus 1,288,membrane protein
CAI2706368,Canine coronavirus,GenBank,,OX335623,61/22,Alphacoronavirus 1,382,nucleocapsid protein
CAI2706369,Canine coronavirus,GenBank,,OX335623,61/22,Alphacoronavirus 1,108,non-structural protein 7a
CAI2706370,Canine coronavirus,GenBank,,OX335623,61/22,Alphacoronavirus 1,213,non-structural protein 7b
UXB54334,Canine coronavirus,GenBank,,OP422887,CCV-A2,Alphacoronavirus 1,115,membrane protein
UXB54335,Canine coronavirus,GenBank,,OP422888,CCV-A4,Alphacoronavirus 1,115,membrane protein
UXB54336,Canine coronavirus,GenBank,,OP422889,CCV-A9,Alphacoronavirus 1,115,membrane protein
UXB54337,Canine coronavirus,GenBank,,OP422890,CCV-D6,Alphacoronavirus 1,115,membrane protein
UXB54338,Canine coronavirus,GenBank,,OP422891,CCV-G19,Alphacoronavirus 1,115,membrane protein
UXB54339,Canine coronavirus,GenBank,,OP422892,CCV-K3,Alphacoronavirus 1,115,membrane protein
UXB54340,Canine coronavirus,GenBank,,OP422893,CCV-K26,Alphacoronavirus 1,115,membrane protein
UXB54341,Canine coronavirus,GenBank,,OP422894,CCV-K40,Alphacoronavirus 1,115,membrane protein
UXB54342,Canine coronavirus,GenBank,,OP422895,CCV-K46,Alphacoronavirus 1,115,membrane protein
UXB54343,Canine coronavirus,GenBank,,OP422896,CCV-K51,Alphacoronavirus 1,115,membrane protein
UXB54344,Canine coronavirus,GenBank,,OP422897,CCV-J24,Alphacoronavirus 1,115,membrane protein
UXB54345,Canine coronavirus,GenBank,,OP422898,CCV-K8,Alphacoronavirus 1,115,membrane protein
UXB54346,Canine coronavirus,GenBank,,OP422899,CCV-E2,Alphacoronavirus 1,115,membrane protein
UXB54347,Canine coronavirus,GenBank,,OP422900,CCV-E6,Alphacoronavirus 1,115,membrane protein
UXB54348,Canine coronavirus,GenBank,,OP422901,CCV-J25,Alphacoronavirus 1,115,membrane protein
UXB54349,Canine coronavirus,GenBank,,OP422902,CCV-K9,Alphacoronavirus 1,115,membrane protein
UXB54350,Canine coronavirus,GenBank,,OP422903,CCV-K37,Alphacoronavirus 1,115,membrane protein
UXB54351,Canine coronavirus,GenBank,,OP422904,CCV-K50,Alphacoronavirus 1,115,membrane protein
UXB54352,Canine coronavirus,GenBank,,OP422905,CCV-A10,Alphacoronavirus 1,115,membrane protein
UXB54353,Canine coronavirus,GenBank,,OP422906,CCV-I-A2,Alphacoronavirus 1,101,S protein
UXB54354,Canine coronavirus,GenBank,,OP422907,CCV-I-A9,Alphacoronavirus 1,94,S protein
UXB54355,Canine coronavirus,GenBank,,OP422908,CCV-I-E2,Alphacoronavirus 1,94,S protein
UXB54356,Canine coronavirus,GenBank,,OP422909,CCV-I-G19,Alphacoronavirus 1,101,S protein
UXB54357,Canine coronavirus,GenBank,,OP422910,CCV-I-J24,Alphacoronavirus 1,101,S protein
UXB54358,Canine coronavirus,GenBank,,OP422911,CCV-I-K9,Alphacoronavirus 1,94,S protein
UXB54359,Canine coronavirus,GenBank,,OP422912,CCV-I-K26,Alphacoronavirus 1,101,S protein
UXB54360,Canine coronavirus,GenBank,,OP422913,CCV-I-K37,Alphacoronavirus 1,94,S protein
UXB54361,Canine coronavirus,GenBank,,OP422914,CCV-I-K40,Alphacoronavirus 1,94,S protein
UXB54362,Canine coronavirus,GenBank,,OP422915,CCV-I-K50,Alphacoronavirus 1,94,S protein
UXB54363,Canine coronavirus,GenBank,,OP422916,CCV-I-K51,Alphacoronavirus 1,94,S protein
UXB54364,Canine coronavirus,GenBank,,OP422917,CCV-IIa-A4,Alphacoronavirus 1,208,S protein
UXB54365,Canine coronavirus,GenBank,,OP422918,CCV-IIa-A10,Alphacoronavirus 1,208,S protein
UXB54366,Canine coronavirus,GenBank,,OP422919,CCV-IIa-D6,Alphacoronavirus 1,208,S protein
UXB54367,Canine coronavirus,GenBank,,OP422920,CCV-IIa-E6,Alphacoronavirus 1,208,S protein
UXB54368,Canine coronavirus,GenBank,,OP422921,CCV-IIa-J24,Alphacoronavirus 1,218,S protein
UXB54369,Canine coronavirus,GenBank,,OP422922,CCV-IIa-J25,Alphacoronavirus 1,208,S protein
UXB54370,Canine coronavirus,GenBank,,OP422923,CCV-IIa-K3,Alphacoronavirus 1,208,S protein
UXB54371,Canine coronavirus,GenBank,,OP422924,CCV-IIa-K8,Alphacoronavirus 1,218,S protein
UXB54372,Canine coronavirus,GenBank,,OP422925,CCV-IIb-D6,Alphacoronavirus 1,56,S protein
UXB54373,Canine coronavirus,GenBank,,OP422926,CCV-IIb-J24,Alphacoronavirus 1,56,S protein
UXB54374,Canine coronavirus,GenBank,,OP422927,CCV-IIb-K8,Alphacoronavirus 1,56,S protein
CAI2777940,Canine coronavirus,GenBank,,OX336673,Canine coronavirus isolate 2/22,Alphacoronavirus 1,105,Coronavirus membrane
CAI2777941,Canine coronavirus,GenBank,,OX336674,Canine coronavirus isolate 7/22,Alphacoronavirus 1,106,Coronavirus membrane
CAI2777942,Canine coronavirus,GenBank,,OX336675,Canine coronavirus isolate 8/22,Alphacoronavirus 1,105,Coronavirus membrane
CAI2777943,Canine coronavirus,GenBank,,OX336676,Canine coronavirus isolate 32/22,Alphacoronavirus 1,103,Coronavirus membrane
CAI2777944,Canine coronavirus,GenBank,,OX336677,Canine coronavirus isolate 34/22,Alphacoronavirus 1,103,Coronavirus membrane
CAI2777945,Canine coronavirus,GenBank,,OX336678,Canine coronavirus isolate 47/22,Alphacoronavirus 1,106,Coronavirus membrane
CAI2777946,Canine coronavirus,GenBank,,OX336679,Canine coronavirus isolate 49/22,Alphacoronavirus 1,105,Coronavirus membrane
CAI2777947,Canine coronavirus,GenBank,,OX336680,Canine coronavirus isolate 50/22,Alphacoronavirus 1,96,Coronavirus membrane
CAI2777948,Canine coronavirus,GenBank,,OX336681,Canine coronavirus isolate 82/22,Alphacoronavirus 1,106,Coronavirus membrane
CAI2777949,Canine coronavirus,GenBank,,OX336682,Canine coronavirus isolate 66/22,Alphacoronavirus 1,106,Coronavirus membrane
CAI2777950,Canine coronavirus,GenBank,,OX336683,Canine coronavirus isolate 68/22,Alphacoronavirus 1,106,Coronavirus membrane
CAI2777951,Canine coronavirus,GenBank,,OX336684,Canine coronavirus isolate 69/22,Alphacoronavirus 1,106,Coronavirus membrane
UVT36851,Canine coronavirus,GenBank,,MZ320953,CCoV/GD/2020/X8,Alphacoronavirus 1,1457,S
UVT36852,Canine coronavirus,GenBank,,MZ320953,CCoV/GD/2020/X8,Alphacoronavirus 1,82,E
UVT36853,Canine coronavirus,GenBank,,MZ320953,CCoV/GD/2020/X8,Alphacoronavirus 1,263,M
UVT36854,Canine coronavirus,GenBank,,MZ320953,CCoV/GD/2020/X8,Alphacoronavirus 1,382,N
UVT36855,Canine coronavirus,GenBank,,MZ320954,CCoV/GD/2020/X9,Alphacoronavirus 1,6626,ORF1ab
UVT36856,Canine coronavirus,GenBank,,MZ320954,CCoV/GD/2020/X9,Alphacoronavirus 1,1453,S
UVT36857,Canine coronavirus,GenBank,,MZ320954,CCoV/GD/2020/X9,Alphacoronavirus 1,82,E
UVT36858,Canine coronavirus,GenBank,,MZ320954,CCoV/GD/2020/X9,Alphacoronavirus 1,287,M
UVT36859,Canine coronavirus,GenBank,,MZ320954,CCoV/GD/2020/X9,Alphacoronavirus 1,382,N
UVH33419,Canine coronavirus,GenBank,,ON107244,SMU-8,Alphacoronavirus 1,4016,ORF1a polyprotein
UVH33420,Canine coronavirus,GenBank,,ON107244,SMU-8,Alphacoronavirus 1,1453,S
UVH33421,Canine coronavirus,GenBank,,ON107244,SMU-8,Alphacoronavirus 1,78,3a
UVH33422,Canine coronavirus,GenBank,,ON107244,SMU-8,Alphacoronavirus 1,71,3b
UVH33423,Canine coronavirus,GenBank,,ON107244,SMU-8,Alphacoronavirus 1,244,3c
UVH33424,Canine coronavirus,GenBank,,ON107244,SMU-8,Alphacoronavirus 1,82,E
UVH33425,Canine coronavirus,GenBank,,ON107244,SMU-8,Alphacoronavirus 1,294,M
UVH33426,Canine coronavirus,GenBank,,ON107244,SMU-8,Alphacoronavirus 1,382,N
UVH33427,Canine coronavirus,GenBank,,ON107244,SMU-8,Alphacoronavirus 1,101,7a
UVH33428,Canine coronavirus,GenBank,,ON107244,SMU-8,Alphacoronavirus 1,213,7b
UVJ47489,Canine coronavirus,GenBank,,MW815638,NC0520,Alphacoronavirus 1,82,envelope protein
UVJ47490,Canine coronavirus,GenBank,,MW815639,LS0611,Alphacoronavirus 1,82,envelope protein
UVJ47491,Canine coronavirus,GenBank,,MW815640,DZ0623,Alphacoronavirus 1,82,envelope protein
UVJ47492,Canine coronavirus,GenBank,,MW815641,GY0529,Alphacoronavirus 1,82,envelope protein
UVJ47493,Canine coronavirus,GenBank,,MW815642,GY0608,Alphacoronavirus 1,82,envelope protein
UVJ47494,Canine coronavirus,GenBank,,MW815643,GY0609,Alphacoronavirus 1,82,envelope protein
UVJ47495,Canine coronavirus,GenBank,,MW815644,NC0521,Alphacoronavirus 1,82,envelope protein
UVJ47496,Canine coronavirus,GenBank,,MW815645,NC0604,Alphacoronavirus 1,82,envelope protein
UVJ47497,Canine coronavirus,GenBank,,MW815646,CD0529,Alphacoronavirus 1,82,envelope protein
UVJ47498,Canine coronavirus,GenBank,,MW815647,CD0605,Alphacoronavirus 1,82,envelope protein
UVJ47499,Canine coronavirus,GenBank,,MW815648,SN0628,Alphacoronavirus 1,82,envelope protein
UVJ47500,Canine coronavirus,GenBank,,MW815649,SN0623,Alphacoronavirus 1,82,envelope protein
UUT43978,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,6684,ORF1ab polyprotein
UUT43979,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,4017,ORF1a polyprotein
UUT43980,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,1475,spike protein
UUT43981,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,78,ORF3a protein
UUT43982,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,71,ORF3b protein
UUT43983,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,244,ORF3c protein
UUT43984,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,82,envelope protein
UUT43985,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,289,membrane protein
UUT43986,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,386,nucleocapsid protein
UUT43987,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,101,ORF7a protein
UUT43988,Canine coronavirus,GenBank,,OP179857,CCov/PK02/2019/BRA,Alphacoronavirus 1,213,ORF7b protein
UUS54161,Canine coronavirus,GenBank,,OK490348,TC12,Alphacoronavirus 1,136,membrane protein
UUS54167,Canine coronavirus,GenBank,,OM055788,JS2103,Alphacoronavirus 1,1453,spike protein
UUS54168,Canine coronavirus,GenBank,,OM055788,JS2103,Alphacoronavirus 1,78,non-structural protein 3a
UUS54169,Canine coronavirus,GenBank,,OM055788,JS2103,Alphacoronavirus 1,71,non-structural protein 3b
UUS54170,Canine coronavirus,GenBank,,OM055788,JS2103,Alphacoronavirus 1,244,non-structural protein 3c
UUS54171,Canine coronavirus,GenBank,,OM055788,JS2103,Alphacoronavirus 1,82,envelope protein
UUS54172,Canine coronavirus,GenBank,,OM055788,JS2103,Alphacoronavirus 1,263,membrane protein
UUS54173,Canine coronavirus,GenBank,,OM055788,JS2103,Alphacoronavirus 1,382,nucleocapsid protein
UUS54174,Canine coronavirus,GenBank,,OM055788,JS2103,Alphacoronavirus 1,101,non-structural protein 7a
UUS54175,Canine coronavirus,GenBank,,OM055788,JS2103,Alphacoronavirus 1,213,non-structural protein 7b
UUG60949,Canine coronavirus,GenBank,,ON834692,22027212/8,Alphacoronavirus 1,131,RNA-dependent RNA polymerase
UUC08213,Canine coronavirus,GenBank,,MW354910,,Alphacoronavirus 1,1454,spike protein
UUC08214,Canine coronavirus,GenBank,,MW354910,,Alphacoronavirus 1,82,envelope protein
UUC08215,Canine coronavirus,GenBank,,MW354910,,Alphacoronavirus 1,290,membrane protein
UUC08216,Canine coronavirus,GenBank,,MW354910,,Alphacoronavirus 1,382,nucleocapsid protein
UUC08217,Canine coronavirus,GenBank,,MW354910,,Alphacoronavirus 1,101,nonstructural protein 7a
UUC08218,Canine coronavirus,GenBank,,MW354910,,Alphacoronavirus 1,213,nonstructural protein 7b
UUC08219,Canine coronavirus,GenBank,,MW354911,,Alphacoronavirus 1,1454,spike protein
UUC08220,Canine coronavirus,GenBank,,MW354911,,Alphacoronavirus 1,82,envelope protein
UUC08221,Canine coronavirus,GenBank,,MW354911,,Alphacoronavirus 1,290,membrane protein
UUC08222,Canine coronavirus,GenBank,,MW354911,,Alphacoronavirus 1,382,nucleocapsid protein
UUC08223,Canine coronavirus,GenBank,,MW354911,,Alphacoronavirus 1,101,nonstructural protein 7a
UUC08224,Canine coronavirus,GenBank,,MW354911,,Alphacoronavirus 1,213,nonstructural protein 7b
URC20758,Canine coronavirus,GenBank,,MT083414,PREDICT_BDADP-001,Alphacoronavirus 1,131,RNA-dependent RNA polymerase
URC20759,Canine coronavirus,GenBank,,MT083415,PREDICT_BDADP-002,Alphacoronavirus 1,131,RNA-dependent RNA polymerase
URC20780,Canine coronavirus,GenBank,,MT083436,PREDICT_BDADAIDP-006,Alphacoronavirus 1,131,RNA-dependent RNA polymerase
UQK61953,Canine coronavirus,GenBank,,MZ173443,,Alphacoronavirus 1,1467,spike protein
UQK61954,Canine coronavirus,GenBank,,MZ173444,,Alphacoronavirus 1,741,spike protein
UQK61955,Canine coronavirus,GenBank,,MZ173445,,Alphacoronavirus 1,742,spike protein
UQK61956,Canine coronavirus,GenBank,,MZ173446,,Alphacoronavirus 1,740,spike protein
UQK61957,Canine coronavirus,GenBank,,MZ173447,,Alphacoronavirus 1,737,spike protein
UQK61958,Canine coronavirus,GenBank,,MZ173448,,Alphacoronavirus 1,736,spike protein
UQK61959,Canine coronavirus,GenBank,,MZ173449,,Alphacoronavirus 1,741,spike protein
UQK61960,Canine coronavirus,GenBank,,MZ173450,,Alphacoronavirus 1,740,spike protein
UQK61961,Canine coronavirus,GenBank,,MZ173451,,Alphacoronavirus 1,752,spike protein
UQK61962,Canine coronavirus,GenBank,,MZ173452,,Alphacoronavirus 1,752,spike protein
UQK84923,Canine coronavirus,GenBank,,OM950728,GH8-2,Alphacoronavirus 1,6682,orf1ab polyprotein
UQK84924,Canine coronavirus,GenBank,,OM950728,GH8-2,Alphacoronavirus 1,1457,surface glycoprotein
UQK84925,Canine coronavirus,GenBank,,OM950728,GH8-2,Alphacoronavirus 1,78,ORF3a protein
UQK84926,Canine coronavirus,GenBank,,OM950728,GH8-2,Alphacoronavirus 1,244,ORF3c protein
UQK84927,Canine coronavirus,GenBank,,OM950728,GH8-2,Alphacoronavirus 1,82,envelope protein
UQK84928,Canine coronavirus,GenBank,,OM950728,GH8-2,Alphacoronavirus 1,262,membrane glycoprotein
UQK84929,Canine coronavirus,GenBank,,OM950728,GH8-2,Alphacoronavirus 1,382,nucleocapsid protein
UQK84930,Canine coronavirus,GenBank,,OM950728,GH8-2,Alphacoronavirus 1,101,putative ORF7a protein
UQK84931,Canine coronavirus,GenBank,,OM950728,GH8-2,Alphacoronavirus 1,213,putative ORF7b protein
UQK84932,Canine coronavirus,GenBank,,OM950729,GH4-2,Alphacoronavirus 1,6682,orf1ab polyprotein
UQK84933,Canine coronavirus,GenBank,,OM950729,GH4-2,Alphacoronavirus 1,1457,surface glycoprotein
UQK84934,Canine coronavirus,GenBank,,OM950729,GH4-2,Alphacoronavirus 1,78,ORF3a protein
UQK84935,Canine coronavirus,GenBank,,OM950729,GH4-2,Alphacoronavirus 1,244,ORF3c protein
UQK84936,Canine coronavirus,GenBank,,OM950729,GH4-2,Alphacoronavirus 1,82,envelope protein
UQK84937,Canine coronavirus,GenBank,,OM950729,GH4-2,Alphacoronavirus 1,262,membrane glycoprotein
UQK84938,Canine coronavirus,GenBank,,OM950729,GH4-2,Alphacoronavirus 1,382,nucleocapsid protein
UQK84939,Canine coronavirus,GenBank,,OM950729,GH4-2,Alphacoronavirus 1,101,putative ORF7a protein
UQK84940,Canine coronavirus,GenBank,,OM950729,GH4-2,Alphacoronavirus 1,213,putative ORF7b protein
UQH66235,Canine coronavirus,GenBank,,MW718795,,Alphacoronavirus 1,377,nucleocapsid protein
UQH66236,Canine coronavirus,GenBank,,MW718796,,Alphacoronavirus 1,377,nucleocapsid protein
UQH66237,Canine coronavirus,GenBank,,MW718797,,Alphacoronavirus 1,382,nucleocapsid protein
UQH66238,Canine coronavirus,GenBank,,MW718798,,Alphacoronavirus 1,382,nucleocapsid protein
UQH66239,Canine coronavirus,GenBank,,MW718799,,Alphacoronavirus 1,382,nucleocapsid protein
UQH66240,Canine coronavirus,GenBank,,MW718800,,Alphacoronavirus 1,382,nucleocapsid protein
UQH66241,Canine coronavirus,GenBank,,MW718801,,Alphacoronavirus 1,382,nucleocapsid protein
UQH66242,Canine coronavirus,GenBank,,MW718802,,Alphacoronavirus 1,382,nucleocapsid protein
UQH66243,Canine coronavirus,GenBank,,MW718803,,Alphacoronavirus 1,382,nucleocapsid protein
UQH66244,Canine coronavirus,GenBank,,MW718804,,Alphacoronavirus 1,382,nucleocapsid protein
UQH66245,Canine coronavirus,GenBank,,MW718805,,Alphacoronavirus 1,380,nucleocapsid protein
UQH66246,Canine coronavirus,GenBank,,MW718806,,Alphacoronavirus 1,382,nucleocapsid protein
UQH66247,Canine coronavirus,GenBank,,MW718807,,Alphacoronavirus 1,262,membrane protein
UQH66248,Canine coronavirus,GenBank,,MW718808,,Alphacoronavirus 1,263,membrane protein
UQH66249,Canine coronavirus,GenBank,,MW718809,,Alphacoronavirus 1,263,membrane protein
UQH66250,Canine coronavirus,GenBank,,MW718810,,Alphacoronavirus 1,263,membrane protein
UQH66251,Canine coronavirus,GenBank,,MW718811,,Alphacoronavirus 1,263,membrane protein
UQH66252,Canine coronavirus,GenBank,,MW718812,,Alphacoronavirus 1,263,membrane protein
UQH66253,Canine coronavirus,GenBank,,MW718813,,Alphacoronavirus 1,263,membrane protein
UQH66254,Canine coronavirus,GenBank,,MW718814,,Alphacoronavirus 1,263,membrane protein
UQH66255,Canine coronavirus,GenBank,,MW718815,,Alphacoronavirus 1,263,membrane protein
UQH66256,Canine coronavirus,GenBank,,MW718816,,Alphacoronavirus 1,263,membrane protein
UQH66257,Canine coronavirus,GenBank,,MW718817,,Alphacoronavirus 1,262,membrane protein
UQH66258,Canine coronavirus,GenBank,,MW718818,,Alphacoronavirus 1,263,membrane protein
UQB67130,Canine coronavirus,GenBank,,MW465347,,Alphacoronavirus 1,87,membrane protein
UQB67131,Canine coronavirus,GenBank,,MW465348,,Alphacoronavirus 1,87,membrane protein
UQB67132,Canine coronavirus,GenBank,,MW465349,,Alphacoronavirus 1,87,membrane protein
UPQ43150,Canine coronavirus,GenBank,,MW407179,PVNRTVU/CCoV-II-001/2020,Alphacoronavirus 1,174,spike protein
UPQ43151,Canine coronavirus,GenBank,,MW407180,PVNRTVU/CCoV-IIa-001/2020,Alphacoronavirus 1,157,spike protein
UPD30392,Canine coronavirus,GenBank,,OK340207,,Alphacoronavirus 1,1453,spike protein
UPD30393,Canine coronavirus,GenBank,,OK340208,,Alphacoronavirus 1,1453,spike protein
UPD30394,Canine coronavirus,GenBank,,OK340209,,Alphacoronavirus 1,1453,spike protein
UPD30395,Canine coronavirus,GenBank,,OK340210,,Alphacoronavirus 1,1461,spike protein
UPD30396,Canine coronavirus,GenBank,,OK340211,,Alphacoronavirus 1,1453,spike protein
UPD30397,Canine coronavirus,GenBank,,OK340212,,Alphacoronavirus 1,1453,spike protein
UPD30398,Canine coronavirus,GenBank,,OK340204,,Alphacoronavirus 1,1479,spike protein
UPD30399,Canine coronavirus,GenBank,,OK340205,,Alphacoronavirus 1,1482,spike protein
UPD30400,Canine coronavirus,GenBank,,OK340206,,Alphacoronavirus 1,1476,spike protein
UPD30401,Canine coronavirus,GenBank,,OK340213,,Alphacoronavirus 1,1467,spike protein
UNO38333,Canine coronavirus,GenBank,,OK500249,ZZ3-2021,Alphacoronavirus 1,417,spike protein
UNO38334,Canine coronavirus,GenBank,,OK500250,ZZ7-2021,Alphacoronavirus 1,417,spike protein
UNO38335,Canine coronavirus,GenBank,,OK500251,ZZ9-2021,Alphacoronavirus 1,417,spike protein
UNO38336,Canine coronavirus,GenBank,,OK500252,ZZ10-2021,Alphacoronavirus 1,417,spike protein
UNO38337,Canine coronavirus,GenBank,,OK500253,YZ12-2021,Alphacoronavirus 1,417,spike protein
UNO38338,Canine coronavirus,GenBank,,OK500254,YZ15-2021,Alphacoronavirus 1,417,spike protein
UNO38339,Canine coronavirus,GenBank,,OK500255,YZ18-2021,Alphacoronavirus 1,417,spike protein
ULF47967,Canine coronavirus,GenBank,,OM451122,SD-F3,Alphacoronavirus 1,6685,ORF1ab polyprotein
ULF47968,Canine coronavirus,GenBank,,OM451122,SD-F3,Alphacoronavirus 1,1455,spike protein
ULF47969,Canine coronavirus,GenBank,,OM451122,SD-F3,Alphacoronavirus 1,71,nonstructural protein 3a
ULF47970,Canine coronavirus,GenBank,,OM451122,SD-F3,Alphacoronavirus 1,229,nonstructural protein 3c
ULF47971,Canine coronavirus,GenBank,,OM451122,SD-F3,Alphacoronavirus 1,93,envelope protein
ULF47972,Canine coronavirus,GenBank,,OM451122,SD-F3,Alphacoronavirus 1,241,membrane protein
ULF47973,Canine coronavirus,GenBank,,OM451122,SD-F3,Alphacoronavirus 1,382,nucleocapsid protein
ULF47974,Canine coronavirus,GenBank,,OM451122,SD-F3,Alphacoronavirus 1,153,nonstructural protein 7b
ULF47975,Canine coronavirus,GenBank,,OM451123,HeB-G1,Alphacoronavirus 1,6682,ORF1ab polyprotein
ULF47976,Canine coronavirus,GenBank,,OM451123,HeB-G1,Alphacoronavirus 1,1454,spike protein
ULF47977,Canine coronavirus,GenBank,,OM451123,HeB-G1,Alphacoronavirus 1,55,nonstructural protein 3b
ULF47978,Canine coronavirus,GenBank,,OM451123,HeB-G1,Alphacoronavirus 1,244,nonstructural protein 3c
ULF47979,Canine coronavirus,GenBank,,OM451123,HeB-G1,Alphacoronavirus 1,82,envelope protein
ULF47980,Canine coronavirus,GenBank,,OM451123,HeB-G1,Alphacoronavirus 1,269,membrane protein
ULF47981,Canine coronavirus,GenBank,,OM451123,HeB-G1,Alphacoronavirus 1,382,nucleocapsid protein
ULF47982,Canine coronavirus,GenBank,,OM451123,HeB-G1,Alphacoronavirus 1,213,nonstructural protein 7b
UHA57784,Canine coronavirus,GenBank,,MT955604,PVNRTVU/2020-0001,Alphacoronavirus 1,6681,ORF1ab polyprotein
UHA57785,Canine coronavirus,GenBank,,MT955604,PVNRTVU/2020-0001,Alphacoronavirus 1,4014,ORF1b
UHA57786,Canine coronavirus,GenBank,,MT955604,PVNRTVU/2020-0001,Alphacoronavirus 1,1457,surface glycoprotein
UHA57787,Canine coronavirus,GenBank,,MT955604,PVNRTVU/2020-0001,Alphacoronavirus 1,71,ORF3a protein
UHA57788,Canine coronavirus,GenBank,,MT955604,PVNRTVU/2020-0001,Alphacoronavirus 1,71,ORF3b protein
UDM59103,Canine coronavirus,GenBank,,MW186440,JS1706,Alphacoronavirus 1,1453,spike protein
UDM59104,Canine coronavirus,GenBank,,MW186440,JS1706,Alphacoronavirus 1,78,non-structural protein 3a
UDM59105,Canine coronavirus,GenBank,,MW186440,JS1706,Alphacoronavirus 1,71,non-structural protein 3b
UDM59106,Canine coronavirus,GenBank,,MW186440,JS1706,Alphacoronavirus 1,82,envelope protein
UDM59107,Canine coronavirus,GenBank,,MW186440,JS1706,Alphacoronavirus 1,263,membrane protein
UDM59108,Canine coronavirus,GenBank,,MW186440,JS1706,Alphacoronavirus 1,382,nucleocapsid protein
UDM59109,Canine coronavirus,GenBank,,MW186440,JS1706,Alphacoronavirus 1,101,non-structural protein 7a
UDM59110,Canine coronavirus,GenBank,,MW186440,JS1706,Alphacoronavirus 1,213,non-structural protein 7b
UDM59111,Canine coronavirus,GenBank,,MW186441,JS1712,Alphacoronavirus 1,1453,spike protein
UDM59112,Canine coronavirus,GenBank,,MW186441,JS1712,Alphacoronavirus 1,78,non-structural protein 3a
UDM59113,Canine coronavirus,GenBank,,MW186441,JS1712,Alphacoronavirus 1,71,non-structural protein 3b
UDM59114,Canine coronavirus,GenBank,,MW186441,JS1712,Alphacoronavirus 1,82,envelope protein
UDM59115,Canine coronavirus,GenBank,,MW186441,JS1712,Alphacoronavirus 1,263,membrane protein
UDM59116,Canine coronavirus,GenBank,,MW186441,JS1712,Alphacoronavirus 1,382,nucleocapsid protein
UDM59117,Canine coronavirus,GenBank,,MW186441,JS1712,Alphacoronavirus 1,101,non-structural protein 7a
UDM59118,Canine coronavirus,GenBank,,MW186441,JS1712,Alphacoronavirus 1,213,non-structural protein 7b
QZX47230,Canine coronavirus,GenBank,,OK017788,M6,Alphacoronavirus 1,130,ORF1ab protein
QXF28587,Canine coronavirus,GenBank,,MZ447866,CCoV-HuPn-2018,Alphacoronavirus 1,213,non-structural protein 7b
QWY12680,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,6686,ORF1ab polyprotein
QWY12681,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,4019,ORF1b
QWY12682,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,1448,surface glycoprotein
QWY12683,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,71,ORF3a protein
QWY12684,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,71,ORF3b protein
QWY12685,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,244,ORF3c protein
QWY12686,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,82,envelope protein
QWY12687,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,262,membrane protein
QWY12688,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,382,nucleocapsid phosphoprotein
QWY12689,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,101,ORF7a protein
QWY12690,Canine coronavirus,GenBank,,MZ420153,Z19,Alphacoronavirus 1,213,ORF7b protein
QVQ56629,Canine coronavirus,GenBank,,MW591993,CCoV-HuPn-2018,Alphacoronavirus 1,4019,ORF1b
QVL91810,Canine coronavirus,GenBank,,MW591993,CCoV-HuPn-2018,Alphacoronavirus 1,6686,ORF1ab polyprotein
QVL91811,Canine coronavirus,GenBank,,MW591993,CCoV-HuPn-2018,Alphacoronavirus 1,1448,surface glycoprotein
QVL91812,Canine coronavirus,GenBank,,MW591993,CCoV-HuPn-2018,Alphacoronavirus 1,71,ORF3a protein
