Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Species,Length,Protein
QHB14996,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758610,Middle East respiratory syndrome-related coronavirus,103,ORF3
QHB14997,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758610,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QHB14998,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758610,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QHB14999,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758610,Middle East respiratory syndrome-related coronavirus,224,ORF5
QHB15000,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758610,Middle East respiratory syndrome-related coronavirus,82,E protein
QHB15001,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758610,Middle East respiratory syndrome-related coronavirus,219,M protein
QHB15002,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758610,Middle East respiratory syndrome-related coronavirus,413,N protein
QHB15003,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758610,Middle East respiratory syndrome-related coronavirus,143,ORF8b
QHB15004,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QHB15005,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QHB15006,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,1353,S protein
QHB15007,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,103,ORF3
QHB15008,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QHB15009,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QHB15010,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,224,ORF5
QHB15011,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,82,E protein
QHB15012,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,219,M protein
QHB15013,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,413,N protein
QHB15014,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758611,Middle East respiratory syndrome-related coronavirus,143,ORF8b
QHB15015,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QHB15016,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QHB15017,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,1353,S protein
QHB15018,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,103,ORF3
QHB15019,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QHB15020,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QHB15021,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,224,ORF5
QHB15022,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,82,E protein
QHB15023,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,219,M protein
QHB15024,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,413,N protein
QHB15025,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758612,Middle East respiratory syndrome-related coronavirus,143,ORF8b
QHB15026,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QHB15027,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QHB15028,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,1353,S protein
QHB15029,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,103,ORF3
QHB15030,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QHB15031,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QHB15032,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,224,ORF5
QHB15033,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,82,E protein
QHB15034,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,219,M protein
QHB15035,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,413,N protein
QHB15036,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758613,Middle East respiratory syndrome-related coronavirus,143,ORF8b
QHB15037,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QHB15038,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QHB15039,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,1353,S protein
QHB15040,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,103,ORF3
QHB15041,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QHB15042,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QHB15043,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,224,ORF5
QHB15044,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,82,E protein
QHB15045,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,219,M protein
QHB15046,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,413,N protein
QHB15047,Middle East respiratory syndrome-related coronavirus,GenBank,,MN758614,Middle East respiratory syndrome-related coronavirus,143,ORF8b
QGW51389,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654970,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51390,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654970,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51391,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654970,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51392,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654970,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51393,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654970,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51394,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654970,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51395,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654970,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51396,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654970,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51397,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654970,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51398,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654970,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51399,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654971,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51400,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654971,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51401,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654971,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51402,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654971,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51403,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654971,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51404,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654971,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51405,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654971,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51406,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654971,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51407,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654971,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51408,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654971,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51409,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654972,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51410,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654972,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51411,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654972,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51412,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654972,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51413,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654972,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51414,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654972,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51415,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654972,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51416,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654972,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51417,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654972,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51418,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654972,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51419,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654973,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51420,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654973,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51421,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654973,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51422,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654973,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51423,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654973,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51424,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654973,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51425,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654973,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51426,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654973,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51427,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654973,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51428,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654973,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51429,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654974,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51430,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654974,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51431,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654974,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51432,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654974,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51433,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654974,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51434,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654974,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51435,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654974,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51436,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654974,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51437,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654974,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51438,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654974,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51439,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654975,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51440,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654975,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51441,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654975,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51442,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654975,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51443,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654975,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51444,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654975,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51445,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654975,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51446,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654975,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51447,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654975,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51448,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654975,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51449,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654976,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51450,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654976,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51451,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654976,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51452,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654976,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51453,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654976,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51454,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654976,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51455,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654976,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51456,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654976,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51457,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654976,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51458,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654976,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51459,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654977,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51460,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654977,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51461,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654977,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51462,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654977,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51463,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654977,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51464,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654977,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51465,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654977,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51466,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654977,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51467,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654977,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51468,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654977,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51469,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654978,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51470,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654978,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51471,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654978,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51472,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654978,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51473,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654978,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51474,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654978,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51475,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654978,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51476,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654978,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51477,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654978,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51478,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654978,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51479,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654979,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51480,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654979,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51481,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654979,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51482,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654979,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51483,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654979,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51484,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654979,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51485,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654979,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51486,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654979,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51487,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654979,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51488,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654979,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51489,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654980,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51490,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654980,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51491,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654980,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51492,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654980,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51493,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654980,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51494,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654980,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51495,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654980,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51496,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654980,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51497,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654980,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51498,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654980,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51499,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654981,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51500,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654981,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51501,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654981,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51502,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654981,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51503,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654981,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51504,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654981,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51505,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654981,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51506,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654981,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51507,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654981,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51508,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654981,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51509,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654982,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51510,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654982,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51511,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654982,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51512,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654982,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51513,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654982,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51514,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654982,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51515,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654982,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51516,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654982,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51517,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654982,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51518,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654982,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51519,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654983,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51520,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654983,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51521,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654983,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51522,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654983,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51523,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654983,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51524,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654983,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51525,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654983,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51526,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654983,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51527,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654983,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51528,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654983,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51529,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654984,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51530,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654984,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51531,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654984,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51532,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654984,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51533,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654984,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51534,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654984,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51535,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654984,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51536,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654984,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51537,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654984,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51538,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654984,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51539,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654985,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51540,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654985,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51541,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654985,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51542,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654985,Middle East respiratory syndrome-related coronavirus,103,ORF3
QGW51543,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654985,Middle East respiratory syndrome-related coronavirus,109,ORF4a
QGW51544,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654985,Middle East respiratory syndrome-related coronavirus,246,ORF4b
QGW51545,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654985,Middle East respiratory syndrome-related coronavirus,224,ORF5
QGW51546,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654985,Middle East respiratory syndrome-related coronavirus,82,E protein
QGW51547,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654985,Middle East respiratory syndrome-related coronavirus,219,M protein
QGW51548,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654985,Middle East respiratory syndrome-related coronavirus,413,N protein
QGW51549,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654986,Middle East respiratory syndrome-related coronavirus,4391,ORF1a
QGW51550,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654986,Middle East respiratory syndrome-related coronavirus,7078,ORF1ab
QGW51551,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654986,Middle East respiratory syndrome-related coronavirus,1353,S protein
QGW51552,Middle East respiratory syndrome-related coronavirus,GenBank,,MN654986,Middle East respiratory syndrome-related coronavirus,103,ORF3
